# Device, ACE0398688
# Generated, 14.04.2026 14:19:39
txstart2: id 0xffffffffffffffff, socket 1, 2026-01-24 07:40:58 2593.341kWh 050FE8E3210000 3 2 N
txstop2: id 0xffffffffffffffff, socket 1, 2026-01-27 17:40:18 2682.633kWh 0421102A577481 6 5 N
txstart2: id 0xffffffffffffffff, socket 1, 2026-01-28 07:14:23 2682.633kWh 0421102A577481 3 2 N
mv: socket 1, 2026-01-28 07:14:23 2682.633 N
mv: socket 1, 2026-01-28 07:14:25 2682.633 N
mv: socket 1, 2026-01-28 07:29:24 2685.238 N
mv: socket 1, 2026-01-28 07:44:24 2687.994 N
mv: socket 1, 2026-01-28 07:59:24 2690.753 N
mv: socket 1, 2026-01-28 08:14:24 2693.514 N
mv: socket 1, 2026-01-28 08:29:24 2696.272 N
mv: socket 1, 2026-01-28 08:44:24 2699.029 N
mv: socket 1, 2026-01-28 08:59:24 2701.788 N
mv: socket 1, 2026-01-28 09:14:24 2704.548 N
mv: socket 1, 2026-01-28 09:29:24 2706.882 N
mv: socket 1, 2026-01-28 09:44:24 2706.882 N
mv: socket 1, 2026-01-28 09:59:24 2706.882 N
mv: socket 1, 2026-01-28 10:14:24 2706.882 N
mv: socket 1, 2026-01-28 10:29:24 2706.882 N
mv: socket 1, 2026-01-28 10:44:24 2706.882 N
mv: socket 1, 2026-01-28 10:59:24 2706.882 N
mv: socket 1, 2026-01-28 11:14:24 2706.882 N
mv: socket 1, 2026-01-28 11:29:24 2706.882 N
mv: socket 1, 2026-01-28 11:44:24 2706.882 N
mv: socket 1, 2026-01-28 11:59:24 2706.882 N
mv: socket 1, 2026-01-28 12:14:24 2706.882 N
mv: socket 1, 2026-01-28 12:29:24 2706.882 N
mv: socket 1, 2026-01-28 12:44:24 2706.882 N
mv: socket 1, 2026-01-28 12:59:24 2706.882 N
mv: socket 1, 2026-01-28 13:14:24 2706.882 N
mv: socket 1, 2026-01-28 13:29:24 2706.882 N
mv: socket 1, 2026-01-28 13:44:24 2706.882 N
mv: socket 1, 2026-01-28 13:59:24 2706.882 N
mv: socket 1, 2026-01-28 14:14:24 2706.882 N
mv: socket 1, 2026-01-28 14:29:24 2706.882 N
mv: socket 1, 2026-01-28 14:44:24 2706.882 N
mv: socket 1, 2026-01-28 14:59:24 2706.882 N
mv: socket 1, 2026-01-28 15:14:24 2706.882 N
mv: socket 1, 2026-01-28 15:29:24 2706.882 N
mv: socket 1, 2026-01-28 15:44:24 2706.882 N
mv: socket 1, 2026-01-28 15:59:24 2706.882 N
mv: socket 1, 2026-01-28 16:14:24 2706.882 N
mv: socket 1, 2026-01-28 16:15:25 2706.882 N
txstop2: id 0xffffffffffffffff, socket 1, 2026-01-28 16:15:25 2706.882kWh 0421102A577481 6 5 N
txstart2: id 0xffffffffffffffff, socket 1, 2026-01-29 07:32:27 2706.882kWh 050FE8E3210000 3 2 N
mv: socket 1, 2026-01-29 07:32:27 2706.882 N
mv: socket 1, 2026-01-29 07:32:29 2706.882 N
mv: socket 1, 2026-01-29 07:47:28 2709.448 N
mv: socket 1, 2026-01-29 08:02:28 2712.182 N
mv: socket 1, 2026-01-29 08:17:28 2714.914 N
mv: socket 1, 2026-01-29 08:32:28 2717.649 N
mv: socket 1, 2026-01-29 08:47:29 2720.380 N
mv: socket 1, 2026-01-29 09:02:28 2723.107 N
mv: socket 1, 2026-01-29 09:17:28 2725.837 N
mv: socket 1, 2026-01-29 09:32:28 2728.560 N
mv: socket 1, 2026-01-29 09:47:28 2731.284 N
mv: socket 1, 2026-01-29 10:02:28 2733.999 N
mv: socket 1, 2026-01-29 10:17:28 2736.717 N
mv: socket 1, 2026-01-29 10:32:29 2739.437 N
